Title,Original Title,Original Language,TMDB ID,IMDB ID,Runtime,Genre(s),Release Date,Revenue,Budget,Status,Tagline,Overview,Production Companies,Production Countries,Spoken Language(s),Collection Title,Collection Name,Collection Release Date,Is Video,Is Adult
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,en,120,tt0120737,179,"[""Adventure"",""Fantasy"",""Action""]",2001-12-18,871368364,93000000,Released,Fate has chosen him. A fellowship will protect him . Evil will hunt them..,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","[{""name"":""New Line Cinema"",""originCountry"":""US""},{""name"":""WingNut Films"",""originCountry"":""NZ""},{""name"":""The Saul Zaentz Company"",""originCountry"":""US""}]","[{""name"":""New Zealand"",""iso31661"":""NZ""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",The Lord of the Rings Collection,The Lord of the Rings Collection,,false,false
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,en,122,tt0167260,201,"[""Adventure"",""Fantasy"",""Action""]",2003-12-01,1118888979,94000000,Released,There can be no triumph without loss. No victory without suffering. No freedom without sacrifice.,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​","[{""name"":""New Line Cinema"",""originCountry"":""US""},{""name"":""WingNut Films"",""originCountry"":""NZ""},{""name"":""The Saul Zaentz Company"",""originCountry"":""US""}]","[{""name"":""New Zealand"",""iso31661"":""NZ""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",The Lord of the Rings Collection,The Lord of the Rings Collection,,false,false
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,en,121,tt0167261,179,"[""Adventure"",""Fantasy"",""Action""]",2002-12-18,926287400,79000000,Released,The fellowship is broken. The power of darkness grows...,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","[{""name"":""New Line Cinema"",""originCountry"":""US""},{""name"":""WingNut Films"",""originCountry"":""NZ""},{""name"":""The Saul Zaentz Company"",""originCountry"":""US""}]","[{""name"":""New Zealand"",""iso31661"":""NZ""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",The Lord of the Rings Collection,The Lord of the Rings Collection,,false,false
The Maltese Falcon,The Maltese Falcon,en,963,tt0033870,100,"[""Mystery"",""Crime"",""Thriller""]",1941-10-18,1772000,375000,Released,A story as EXPLOSIVE as his BLAZING automatics!,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
The Man with the Golden Gun,The Man with the Golden Gun,en,682,tt0071807,125,"[""Adventure"",""Action"",""Thriller""]",1974-12-01,97572000,7000000,Released,The world's greatest villains tried to kill James Bond...now it's Scaramanga's turn to try!,"Cool government operative James Bond searches for a stolen invention that can turn the sun's heat into a destructive weapon. He soon crosses paths with the menacing Francisco Scaramanga, a hitman so skilled he has a seven-figure working fee. Bond then joins forces with the swimsuit-clad Mary Goodnight, and together they track Scaramanga to a Thai tropical isle hideout where the killer-for-hire lures the slick spy into a deadly maze for a final duel.","[{""name"":""EON Productions"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""ภาษาไทย"",""iso31661"":""th""},{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""English"",""iso31661"":""en""}]",James Bond Collection,James Bond Collection,,false,false
The Mask of Zorro,The Mask of Zorro,en,9342,tt0120746,136,"[""Action"",""Adventure""]",1998-07-16,250300000,95000000,Released,No one has seen his face... but everyone ... knows this mark.,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.","[{""name"":""TriStar Pictures"",""originCountry"":""US""},{""name"":""Amblin Entertainment"",""originCountry"":""US""},{""name"":""Zorro Productions"",""originCountry"":""US""},{""name"":""David Foster Productions"",""originCountry"":""""},{""name"":""Sony Pictures Studios"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""},{""name"":""Germany"",""iso31661"":""DE""},{""name"":""Mexico"",""iso31661"":""MX""}]","[{""name"":""हिन्दी"",""iso31661"":""hi""},{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",Zorro Collection,Zorro Collection,,false,false
The Matrix,The Matrix,en,603,tt0133093,136,"[""Action"",""Science Fiction""]",1999-03-31,463517383,63000000,Released,Believe the unbelievable.,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","[{""name"":""Village Roadshow Pictures"",""originCountry"":""US""},{""name"":""Groucho II Film Partnership"",""originCountry"":""""},{""name"":""Silver Pictures"",""originCountry"":""US""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",The Matrix Collection,The Matrix Collection,,false,false
The Mummy,The Mummy,en,564,tt0120616,124,"[""Adventure"",""Action"",""Fantasy""]",1999-04-16,415885488,80000000,Released,The sands will rise. The heavens will part. The power will be unleashed.,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,"[{""name"":""Alphaville Films"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""العربية"",""iso31661"":""ar""}]",The Mummy Collection,The Mummy Collection,,false,false
The Mummy Returns,The Mummy Returns,en,1734,tt0209163,130,"[""Adventure"",""Action"",""Fantasy""]",2001-05-04,443280904,98000000,Released,The most powerful force on earth is about to be unleashed by the two people who should know better.,"Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Alphaville Films"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""العربية"",""iso31661"":""ar""}]",The Mummy Collection,The Mummy Collection,,false,false
The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,en,1735,tt0859163,112,"[""Adventure"",""Action"",""Fantasy""]",2008-07-01,403449830,145000000,Released,A New Evil Awakens.,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Relativity Media"",""originCountry"":""US""},{""name"":""The Sommers Company"",""originCountry"":""""},{""name"":""Alphaville Films"",""originCountry"":""US""},{""name"":""Beijing Happy Pictures"",""originCountry"":""""},{""name"":""Shanghai Film Group"",""originCountry"":""CN""},{""name"":""Internationale Filmproduktion Blackbird Erste"",""originCountry"":""DE""}]","[{""name"":""China"",""iso31661"":""CN""},{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""普通话"",""iso31661"":""zh""},{""name"":"""",""iso31661"":""sa""}]",The Mummy Collection,The Mummy Collection,,false,false
The Night Evelyn Came Out of the Grave,La notte che Evelyn uscì dalla tomba,it,42499,tt0067487,102,"[""Mystery"",""Horror"",""Thriller""]",1971-08-18,0,0,Released,The Worms are Waiting!,"A rich, mentally-unstable man—with a penchant for playing deadly S&M games with women who resemble his dead wife—sparks off a chain of bizarre events after getting remarried.","[{""name"":""Phoenix Cinematografica"",""originCountry"":""""}]","[{""name"":""Italy"",""iso31661"":""IT""}]","[{""name"":""Italiano"",""iso31661"":""it""}]",,,,false,false
The Nightmare Before Christmas,The Nightmare Before Christmas,en,9479,tt0107688,76,"[""Fantasy"",""Animation"",""Family""]",1993-10-09,75634409,24000000,Released,What's this?,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.","[{""name"":""Touchstone Pictures"",""originCountry"":""US""},{""name"":""Skellington Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
The Princess Bride,The Princess Bride,en,2493,tt0093779,99,"[""Adventure"",""Family"",""Fantasy"",""Comedy"",""Romance""]",1987-09-25,30900000,16000000,Released,It's as real as the feelings you feel.,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.","[{""name"":""The Princess Bride Ltd."",""originCountry"":""US""},{""name"":""Buttercup Films Ltd."",""originCountry"":""US""},{""name"":""Act III Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
The Protector,The Protector,en,45408,tt0089847,91,"[""Action"",""Crime"",""Thriller""]",1985-07-10,0,0,Released,"Now, New York has a new weapon - A cop with his own way of fighting crime.","Billy Wong is a New York City cop whose partner is gunned down during a robbery. Billy and his new partner, Danny Garoni, are working security at a fashion show when a wealthy man's daughter, Laura Shapiro, is kidnapped. The Federal authorities suspect that Laura's father is involved with Mr. Ko, a Hong Kong drug kingpin, so the NYC police commissioner sends the two cops to Hong Kong to investigate.","[{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""},{""name"":""Golden Way Films Ltd."",""originCountry"":""HK""},{""name"":""Eurasia Investments"",""originCountry"":""""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""Français"",""iso31661"":""fr""},{""name"":""English"",""iso31661"":""en""}]",,,,false,false
The Road Warrior,The Road Warrior,en,339133,tt3106594,29,"[""Drama""]",2013-01-01,0,0,Released,,"Two boxers, from opposing worlds become unlikely friends on their journey to becoming World Champions. The only thing standing in their way is each other.",[],"[{""name"":""South Africa"",""iso31661"":""ZA""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
The Running Man,The Running Man,en,865,tt0093894,101,"[""Action"",""Science Fiction"",""Thriller"",""Crime""]",1987-11-13,38122105,27000000,Released,"It is the year 2019. ""The Running Man"" is a deadly game no one has ever survived. But Schwarzenegger has yet to play.","By 2017, the global economy has collapsed and U.S. society has become a totalitarian police state, censoring all cultural activity. The government pacifies the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style The Running Man, hosted by the ruthless Damon Killian, where “runners” attempt to evade “stalkers” and certain death for a chance to be pardoned and set free.","[{""name"":""Braveworld Productions"",""originCountry"":""""},{""name"":""Keith Barish Productions"",""originCountry"":""""},{""name"":""TAFT Entertainment Pictures"",""originCountry"":""""},{""name"":""TriStar Pictures"",""originCountry"":""US""},{""name"":""HBO"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
The Shining,The Shining,en,694,tt0081505,144,"[""Horror"",""Thriller""]",1980-05-23,44781695,19000000,Released,A masterpiece of modern horror.,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Peregrine"",""originCountry"":""GB""},{""name"":""Hawk Films"",""originCountry"":""GB""},{""name"":""The Producer Circle Co."",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",The Shining Collection,The Shining Collection,,false,false
The Silence of the Lambs,The Silence of the Lambs,en,274,tt0102926,119,"[""Crime"",""Drama"",""Thriller""]",1991-02-14,272742922,19000000,Released,To enter the mind of a killer she must challenge the mind of a madman.,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","[{""name"":""Orion Pictures"",""originCountry"":""US""},{""name"":""Strong Heart"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",The Hannibal Lecter Collection,The Hannibal Lecter Collection,,false,false
The Spy Who Loved Me,The Spy Who Loved Me,en,691,tt0076752,125,"[""Adventure"",""Action"",""Thriller""]",1977-07-07,185438673,13000000,Released,It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.,"[{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""Danjaq"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Italiano"",""iso31661"":""it""},{""name"":""العربية"",""iso31661"":""ar""}]",James Bond Collection,James Bond Collection,,false,false
The Super Mario Bros. Movie,The Super Mario Bros. Movie,en,502356,tt6718170,93,"[""Animation"",""Family"",""Adventure"",""Fantasy"",""Comedy""]",2023-04-05,1362000000,100000000,Released,Not all heroes wear capes. Some wear overalls.,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Illumination"",""originCountry"":""US""},{""name"":""Nintendo"",""originCountry"":""JP""}]","[{""name"":""Japan"",""iso31661"":""JP""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Super Mario Bros. Collection,Super Mario Bros. Collection,,false,false
The Suspicious Death of a Minor,Morte sospetta di una minorenne,it,80067,tt0073406,100,"[""Crime"",""Thriller"",""Comedy""]",1975-08-12,0,0,Released,,"Police detective Paolo Germi and the mysterious Marisa meet each other at a dance hall. Germi is unsuspecting of the secret Marisa is carrying with her: adverse conditions forced her into prostitution. As Germi finds the young girl brutally murdered, he decides to go after her killers. During his investigation, he enters a world of intrigue and obfuscation that leave an endless trail of blood.","[{""name"":""Dania Film"",""originCountry"":""IT""}]","[{""name"":""Italy"",""iso31661"":""IT""}]","[{""name"":""Italiano"",""iso31661"":""it""}]",,,,false,false
The Terminator,The Terminator,en,218,tt0088247,108,"[""Action"",""Thriller"",""Science Fiction""]",1984-10-26,78371200,6400000,Released,Your future is in its hands.,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?","[{""name"":""Hemdale"",""originCountry"":""GB""},{""name"":""Pacific Western"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",The Terminator Collection,The Terminator Collection,,false,false
The Thing,The Thing,en,1091,tt0084787,109,"[""Horror"",""Mystery"",""Science Fiction""]",1982-06-25,19629760,15000000,Released,Man is the warmest place to hide.,"In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror... and becomes one of them.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""The Turman-Foster Company"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Norsk"",""iso31661"":""no""}]",The Thing Collection,The Thing Collection,,false,false
The Waterboy,The Waterboy,en,10663,tt0120484,90,"[""Comedy""]",1998-11-06,185991646,23000000,Released,You can mess with him. But don't mess with his water.,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.,"[{""name"":""Touchstone Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
"The Weapon, the Hour, the Motive","L'arma, l'ora, il movente",it,105151,tt0069730,105,"[""Thriller"",""Horror"",""Mystery""]",1972-11-23,0,0,Released,,"Don Giorgio, a handsome young priest and teacher in a convent, is involved with two lovers:  Orchidea and Giulia.  When he repents and vows to return to the Church, he is savagely beaten to death.  Not long after, Giulia has her throat slashed.  Inspector Boito falls in love with and prepared to marry Orchidea, who is also the main suspect.  The key to solving the case seems to lie with an inquisitive boy called Ferruccio, who is kept locked up and drugged.  He witnessed one of the murders, but will anyone believe his story?","[{""name"":""Julia Film"",""originCountry"":""""}]","[{""name"":""Italy"",""iso31661"":""IT""}]","[{""name"":""Italiano"",""iso31661"":""it""}]",,,,false,false
The World Is Not Enough,The World Is Not Enough,en,36643,tt0143145,128,"[""Adventure"",""Action"",""Thriller""]",1999-11-17,361832400,135000000,Released,As the countdown begins for the new millennium there is still one number you can always count on.,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to protect a beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.","[{""name"":""Metro-Goldwyn-Mayer"",""originCountry"":""US""},{""name"":""United Artists"",""originCountry"":""US""},{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""Danjaq"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Pусский"",""iso31661"":""ru""}]",James Bond Collection,James Bond Collection,,false,false
They Live,They Live,en,8337,tt0096256,93,"[""Science Fiction"",""Action""]",1988-11-04,13000000,4000000,Released,You see them on the street. You watch them on TV. You might even vote for one this fall. You think they're people just like you. You're wrong. Dead wrong.,A lone drifter stumbles upon a harrowing discovery -- a unique pair of sunglasses that reveals that aliens are systematically gaining control of the Earth by masquerading as humans and lulling the public into submission.,"[{""name"":""Alive Films"",""originCountry"":""US""},{""name"":""Larry Franco Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Deutsch"",""iso31661"":""de""}]",,,,false,false
Thunderball,Thunderball,en,660,tt0059800,130,"[""Adventure"",""Action"",""Thriller""]",1965-12-11,141195658,5500000,Released,Look up! Look down! Look out! Here comes the biggest Bond of all!,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,"[{""name"":""EON Productions"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",James Bond Collection,James Bond Collection,,false,false
Titanic,Titanic,en,597,tt0120338,194,"[""Drama"",""Romance""]",1997-11-18,2264162353,200000000,Released,Nothing on Earth could come between them.,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","[{""name"":""Paramount"",""originCountry"":""US""},{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Lightstorm Entertainment"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""},{""name"":""Deutsch"",""iso31661"":""de""},{""name"":""svenska"",""iso31661"":""sv""},{""name"":""Italiano"",""iso31661"":""it""},{""name"":""Pусский"",""iso31661"":""ru""}]",,,,false,false
To Kill with Intrigue,劍花煙雨江南,zh,18758,tt0076227,106,"[""Action"",""Drama""]",1977-07-22,0,0,Released,He must fight one woman in order to save another.,Young master Cao Le chases his pregnant girlfriend away from the family castle. He does it in order to save her from vicious bandits who are going to murder his family.,"[{""name"":""Lo Wei Motion Picture Company"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""},{""name"":""South Korea"",""iso31661"":""KR""}]","[{""name"":""普通话"",""iso31661"":""zh""},{""name"":""广州话 / 廣州話"",""iso31661"":""cn""}]",,,,false,false
Tomorrow Never Dies,Tomorrow Never Dies,en,714,tt0120347,119,"[""Adventure"",""Action"",""Thriller""]",1997-12-11,333011068,110000000,Released,Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now James Bond must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,"[{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""United Artists"",""originCountry"":""US""},{""name"":""Danjaq"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""Deutsch"",""iso31661"":""de""},{""name"":""English"",""iso31661"":""en""},{""name"":""Dansk"",""iso31661"":""da""},{""name"":""普通话"",""iso31661"":""zh""},{""name"":""广州话 / 廣州話"",""iso31661"":""cn""}]",James Bond Collection,James Bond Collection,,false,false
Top Gun,Top Gun,en,744,tt0092099,110,"[""Drama"",""Action"",""Adventure""]",1986-05-16,356830601,15000000,Released,Up there with the best of the best.,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.","[{""name"":""Paramount"",""originCountry"":""US""},{""name"":""Don Simpson/Jerry Bruckheimer Films"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Top Gun Collection,Top Gun Collection,,false,false
Top Gun: Maverick,Top Gun: Maverick,en,361743,tt1745960,131,"[""Action"",""Drama""]",2022-05-21,1488732821,170000000,Released,Feel the need... The need for speed.,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.","[{""name"":""Skydance Media"",""originCountry"":""US""},{""name"":""Don Simpson/Jerry Bruckheimer Films"",""originCountry"":""US""},{""name"":""Paramount"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Top Gun Collection,Top Gun Collection,,false,false
Torso,I corpi presentano tracce di violenza carnale,it,31624,tt0069920,93,"[""Horror"",""Thriller"",""Mystery""]",1973-01-04,0,0,Released,Enter... if you dare the bizarre world of the psychosexual mind.,"A masked serial killer with psychosexual issues strangles female coeds with scarves before dismembering them. When a wealthy student identifies one of the scarves and thinks she has a lead on a suspect, she becomes the killer's next target, retreating to her family's remote cliffside villa with three of her girlfriends.","[{""name"":""C. C. Champion"",""originCountry"":""IT""}]","[{""name"":""Italy"",""iso31661"":""IT""}]","[{""name"":""Italiano"",""iso31661"":""it""}]",,,,false,false
Total Recall,Total Recall,en,861,tt0100802,113,"[""Action"",""Adventure"",""Science Fiction""]",1990-06-01,261317921,65000000,Released,"They stole his mind, now he wants it back.","Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company who manufacture memories. Something goes wrong during his memory implant turning Doug's life upside down and even to question what is reality and what isn't.","[{""name"":""Carolco Pictures"",""originCountry"":""US""},{""name"":""Ronald Shusett/Gary Goldman Productions"",""originCountry"":""""},{""name"":""TriStar Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""},{""name"":""Mexico"",""iso31661"":""MX""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Tremors,Tremors,en,9362,tt0100814,96,"[""Horror"",""Action"",""Science Fiction"",""Comedy""]",1990-01-19,48572000,11000000,Released,They say there's nothing new under the sun. But under the ground…,"Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.","[{""name"":""No Frills Film Production"",""originCountry"":""""},{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Wilson-Maddock Production"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Tremors Collection,Tremors Collection,,false,false
"Twinkle, Twinkle, Lucky Stars",夏日福星,cn,18707,tt0090342,105,"[""Action"",""Comedy""]",1985-08-15,0,9023199,Released,This time those cock-eyed crime-busters land in more trouble than anyone could safely handle.,"The third installment in the Lucky Stars series, following Winners and Sinners and My Lucky Stars. The team are released from prison to play detective in order to stop a ruthless gang from ruining their reputations, taking their lives, and that of a key witness in an upcoming trial. They must battle their way through and with the help of Muscles, take down the bad guys.","[{""name"":""Paragon Films Ltd."",""originCountry"":""HK""},{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""日本語"",""iso31661"":""ja""},{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""English"",""iso31661"":""en""}]",Lucky Stars Collection,Lucky Stars Collection,,false,false
